Job Title,Job Title Clean,Job Title Clean 2
"Logistics & Client Service Coordinator - Fortune 500 US MNC , No Exp OK",Client Service Coordinator,['Logistics & Client Service Coordinator']
"Executive, Professional & Education Development Division",Executive,['Executive']
Secretary cum Receptionist,Secretary Cum Receptionist,['Secretary cum Receptionist']
Admin & Operations Executive,Admin & Operations Executive,['Admin & Operations Executive']
Account Assistant [Subsea/ Oil Gas]/ 5days/ Jurong East/ Upto $3k basic + VB,Account Assistant [Subsea/ Oil Gas]/,['Account Assistant']
Administrative Executive,Administrative Executive,['Administrative Executive']
$2980/Mth | Govt Admin & Ops Officer | Mon - Fri (Office Hrs),$2980/Mth | Govt Admin,[]
Contracts Officer / Assistant,Contracts Officer / Assistant,['Contracts Officer / Assistant']
Administration Excutive (LS/JT),Administration Excutive,['Administration Excutive']
Environmental Health Admin Support - 3 months (From $12.60 per hour),Hour,['Environmental Health Admin Support']
Office Admin Officer // Govt Agencies,Office Admin Officer // Govt Agencies,['Office Admin Officer // Govt Agencies']
Training Support Executive,Training Support Executive,['Training Support Executive']
Dental Assistant (Tampines Branch),Dental Assistant,['Dental Assistant']
Clinic Assistant,Clinic Assistant,['Clinic Assistant']
Full Time/Part Time - Dental Assistant,Full Time/Part Time - Dental Assistant,['Full Time/Part Time']
Social Worker,Social Worker,['Social Worker']
Cardiac Technologist,Cardiac Technologist,['Cardiac Technologist']
Clinic Assistant (Specialist Clinics),Clinic Assistant,['Clinic Assistant']
Pharmacy Assistant / Technician,Pharmacy Assistant / Technician,['Pharmacy Assistant']
Senior / Phlebotomist,Senior / Phlebotomist,['Senior / Phlebotomist']
"Engineer, Service (Medical Device)",Engineer,['Engineer']
Full-Time Dental Assistant / Recep (ADMIRALTY),Full-Time Dental Assistant / Recep,['Dental Assistant / Recep']
STAFF NURSE,Staff Nurse,['STAFF NURSE']
Imaging Assistant (Contract to Perm),Imaging Assistant,['Imaging Assistant']
Therapy Assistant,Therapy Assistant,['Therapy Assistant']
Clinic Assistant,Clinic Assistant,['Clinic Assistant']
Medical Laboratory Technologist - Blood Transfusion Service,Blood Transfusion Service,['Medical Laboratory Technologist']
Clinical Research Coordinator,Clinical Research Coordinator,['Clinical Research Coordinator']
Part Time : Production Technician & Field Technician,Part Time,['Production Technician & Field Technician']
Operating Theatre Technician [2 shift / Queenstown/No Experience Needed],Theatre,['Operating\xa0Theatre\xa0Technician']
"Executive, Clinical Informatics (Medical Board)",Executive,['Executive']
Social Worker,Social Worker,['Social Worker']
CLINIC ASSISTANT,Clinic Assistant,['CLINIC ASSISTANT']
Product Specialist (Consumables),Product Specialist,['Product Specialist']
Medical Laboratory Technologist - Histopathology,Medical Laboratory Technologist - Histopathology,['Medical Laboratory Technologist']
Senior / Patient Service Associate,Senior / Patient Service Associate,['Senior / Patient Service Associate']
Dental Surgery Assistant / Dental Assistant,Dental Surgery Assistant / Dental Assistant,['Dental Surgery Assistant / Dental Assistant']
CLINIC ASSISTANT,Clinic Assistant,['CLINIC ASSISTANT']
Serangoon/Tanah Merah Clinic Assistant,Serangoon/Tanah Merah Clinic Assistant,['Serangoon/Tanah Merah Clinic Assistant']
"Senior Patient Service Associate, Business Office (Billing & Claims)",Senior Patient Service Associate,['Senior Patient Service Associate']
"Assistant Manager, Inpatient Operations",Assistant Manager,['Assistant Manager']
Product Manager (Interventional Cardiology),Product Manager,['Product Manager']
Optometrist | Up to $4000 | 5 working days,Optometrist |,['Optometrist | Up to']
Renal Coordinator,Renal Coordinator,['Renal Coordinator']
Clinic Assistant,Clinic Assistant,['Clinic Assistant']
Training Support Executive,Training Support Executive,['Training Support Executive']
Counsellor | GOVT | JO-25080,Counsellor | Govt |,['Counsellor']
IT Support Assistant,Assistant,['IT Support Assistant']
IT Executive,It Executive,['IT Executive']
L1 Desktop Support Engineer / Helpdesk Support (Up to $3500) | Islandwide,Desktop Support Engineer,['L1 Desktop Support Engineer']
Desktop Engineer / IT Support - Entry Level | Training Provided,It Support - Entry Level,['Desktop Engineer / IT Support']
IT Project Engineer (No Experience Required),It Project Engineer,['IT Project Engineer']
IT Support Engineer,It Support Engineer,['IT Support Engineer']
IT System Administrator,It System Administrator,['IT System Administrator']
Network Engineer,Network Engineer,['Network Engineer']
IT Support Engineer (Central/ 5 days),It Support Engineer,['IT Support Engineer']
Web Project Executive,Web Project Executive,['Web Project Executive']
Entry Level Desktop Support (Training Provided),Entry Level Desktop Support,[]
IT Data Center Operation (Training Provided - Entry level),It Data Center Operation,['IT Data Center Operation']
IT Specialist,It Specialist,['IT Specialist']
End User Computing - Lead,End User Computing - Lead,[]
Business Analyst (Finance),Business Analyst,['Business Analyst']
Customer Success Executive,Customer Success Executive,['Customer Success Executive']
Product / Business Analyst,Product / Business Analyst,['Product / Business Analyst']
"ERP Analyst, Group IT Enterprise System",Erp Analyst,['ERP Analyst']
"IT End User Support | Renewable Contract | Up to $4,000 Basic Salary | #FJGE",User Support,['IT End User Support | Renewable']
Project executive *fresh grad welcome,Project Executive,['Project executive']
IT Desktop Support [up to $3.9k | 1 year contract | Govt-linked],It Desktop Support,['IT Desktop Support']
IT Support (Microsoft Acct Mgt & Prodcts),Microsoft Acct Mgt,['IT Support']
Equipment Automation Engineer,Equipment Automation Engineer,['Equipment Automation Engineer']
Software Developer,Software Developer,['Software Developer']
Application Consultant (Support),Application Consultant,['Application Consultant']
Automation Associate Engineer,Automation Associate Engineer,['Automation Associate Engineer']
"IT Assistant (3 Months Contract, Renewable/Convertible) #UP $2300",It Assistant,['IT Assistant']
Database Officer / Specialist,Database Officer / Specialist,['Database Officer / Specialist']
Executive - Systems Analyst (NGEMR),Executive - Systems Analyst,['Executive']
ERP Manager (Loan Processing Application),Erp Manager,['ERP Manager']
Data engineer (Azure),Data Engineer,['Data engineer']
Infrastructure and IT Security Manager,Infrastructure And It Security Manager,['Infrastructure and IT Security Manager']
SAP FICO Consultant,Sap Fico Consultant,['SAP FICO Consultant']
Security Operations Manager (Practitioner),Security Operations Manager,['Security Operations Manager']
Product Manager,Product Manager,['Product Manager']
Junior Software Developer,Junior Software Developer,['Junior Software Developer']
Project Manager (ID: 668018),Project Manager,['Project Manager']
Executive (Service Desk),Executive,['Executive']
Senior Executive - Application Support (Channels),Senior Executive - Application Support,['Senior Executive']
DevSecOps Engineer,Devsecops Engineer,['DevSecOps Engineer']
Mac & Windows Endpoint Support Engineer,Mac & Windows Endpoint Support Engineer,['Mac & Windows Endpoint Support Engineer']
Electrical Technician,Electrical Technician,['Electrical Technician']
Project Engineer,Project Engineer,['Project Engineer']
Customer Quality and QMS Engineer,Customer Quality,['Customer Quality and QMS Engineer']
Project Engineer,Project Engineer,['Project Engineer']
PCBA (Debug) Engineering Assistant,Pcba (Debug) Engineering Assistant,['PCBA']
Field Service Engineer,Field Service Engineer,['Field Service Engineer']
Assistant Engineer,Assistant Engineer,['Assistant Engineer']
Process Engineer,Process Engineer,['Process Engineer']
Electrical Maintenance Technician,Electrical Maintenance Technician,['Electrical Maintenance Technician']
Engineer – Capacity Planning,Engineer,['Engineer']
Application Engineer Assistant (Mechanical/Electrical),Application Engineer Assistant,['Application Engineer Assistant']
ESG / Facilities Engineer,Esg / Facilities Engineer,['ESG / Facilities Engineer']
Assistant Engineer,Assistant Engineer,['Assistant Engineer']
Manufacturing Engineer,Manufacturing Engineer,['Manufacturing Engineer']
Chemical Process Technicians,Chemical Process Technicians,['Chemical Process Technicians']
Project Engineer (Automation & Digitalization),Project Engineer,['Project Engineer']
Mechanical Engineer (Entry Level) - SY,Mechanical Engineer,['Mechanical Engineer']
EHS Engineer,Ehs Engineer,['EHS Engineer']
Site Engineer,Site Engineer,['Site Engineer']
Preventive Maintenance Officer,Preventive Maintenance Officer,['Preventive Maintenance Officer']
Associate Field Service Technician,Associate Field Service Technician,['Associate Field Service Technician']
Automotive Technical Officer,Automotive Technical Officer,['Automotive Technical Officer']
Senior Project Engineer,Senior Project Engineer,['Senior Project Engineer']
"Executive, Commercial Development",Executive,['Executive']
Application Engineer,Application Engineer,['Application Engineer']
"Executive/Senior Engineer, Signal, Communication & Control Engineering",Executive/Senior Engineer,['Executive']
Site Engineer,Site Engineer,['Site Engineer']
M&E (Mechanical & Electrical) Engineer,Mechanical,['M&E']
Facilities Maintenance Technician | Food Manufacturing Industry,Food Manufacturing Industry,['Facilities Maintenance Technician']
"Senior/Manager, Contracts Management",Senior/Manager,['Senior/Manager']
Project Engineer,Project Engineer,['Project Engineer']
Mechanical Engineer,Mechanical Engineer,['Mechanical Engineer']
Facility Officer,Facility Officer,['Facility Officer']
M&E Coordinator （Based In Johor),Johor,['M&E Coordinator']
Drafter AutoCAD (2D),(2D,['Drafter']
M&E Coordinator,M&E Coordinator,['M&E Coordinator']
Electrical Engineer (Construction),Electrical Engineer,['Electrical Engineer']
Certifying Aircraft Technician - Line Maintenance (Relocation to Singapore),Aircraft,['Certifying Aircraft Technician']
BIM Modeller,Bim Modeller,['BIM Modeller']
Engineering Specialist (East / West / 5 days),Engineering Specialist,['Engineering Specialist']
Commercial Executive - Ship Repairs (Benoi),Commercial Executive - Ship Repairs,['Commercial Executive']
Electrical & Instrumentation (E&I) Engineer,(E&I,['Electrical & Instrumentation']
Maintenance Technician,Maintenance Technician,['Maintenance Technician']
Process Engineer/Senior Process Engineer,Process Engineer/Senior Process Engineer,['Process Engineer']
"Senior Engineer , Design Quality",Senior Engineer,['Senior Engineer']
Field Service Engineer,Field Service Engineer,['Field Service Engineer']
"Branch Manager, Track Infrastructure Maintenance",Branch Manager,['Branch Manager']
Process Technicians (UP $3000 / Ang Mo Kio / Mon-Fri / AWS + VB),Process Technicians,['Process Technicians']
Senior Site Engineer,Senior Site Engineer,['Senior Site Engineer']
Technical Sales & Project Engineer,Technical Sales,['Technical Sales & Project Engineer']
"Senior Executive, Media Operations (Stellar Ace)",Senior Executive,['Senior Executive']
Assistant Engineer,Assistant Engineer,['Assistant Engineer']
"System Engineer, Security Systems",System Engineer,['System Engineer']
Project Engineer (ACMV/Mechanical) | 5 Days,Project Engineer,['Project Engineer']
Mechanical Technician,Mechanical Technician,['Mechanical Technician']
KYC,Kyc,['KYC']
Dealing & Trade Support Officer,Trade Support Officer,['Dealing & Trade Support Officer']
Compliance director,Compliance Director,['Compliance director']
Customer Service - Banking Branch (No experience required),Customer Service - Banking Branch,['Customer Service']
Compliance & Regulatory Data Verification Associate | No exp welcomed,No Exp,['Compliance & Regulatory Data Verification Associate']
Relationship Manager,Relationship Manager,['Relationship Manager']
Cards Officer; Banking (Contract) RENEWABLE,Cards Officer,['Cards Officer']
Customer Service Specialist (Office Hours) | Banking up to $4K,Office Hours,['Customer Service Specialist']
Financial Advisor,Financial Advisor,['Financial Advisor']
Trainee Money Broker,Trainee Money Broker,['Trainee Money Broker']
Operation,Operation,['Operation']
financial intern,Financial Intern,['financial intern']
12 Months AML Analyst,12 Months Aml Analyst,[]
"AML Analyst, KYC Reviews (Bank|Up to $6k)",Aml Analyst,['AML Analyst']
Bank Officer (MNC|Bank|Up to $3.5k),Bank Officer,['Bank Officer']
Digital Ambassador/Customer Service ($15/hour | Bank),Digital Ambassador/Customer Service,['Digital Ambassador/Customer Service']
HSBC Investment Advisor (Entry Level/Mid Career Switch),Hsbc Investment Advisor,['HSBC Investment Advisor']
Retail Banking Anti Scam Specialist,Retail Banking Anti Scam Specialist,['Retail Banking Anti Scam Specialist']
Investment Analyst/Manager,Investment Analyst/Manager,['Investment Analyst/Manager']
Bank Teller (East/Basic Salary + Allowance/Training Provided),Bank Teller,['Bank Teller']
"Outbound Customer Service Representative $2.6K, East (BANK)",Outbound Customer Service Representative,['Outbound Customer Service Representative']
Compliance Officer,Compliance Officer,['Compliance Officer']
Financial Consultant/Sales Consultant,Financial Consultant/Sales Consultant,['Financial Consultant/Sales Consultant']
Investment Analyst/Associate,Investment Analyst,['Investment Analyst/Associate']
Private Wealth Planner,Private Wealth Planner,['Private Wealth Planner']
